video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
qcP7sS1qZ2M,18.28.02,This Week I Learned to Fly Fish - Far Cry 5,Mike Boyd,24,2018-02-26T14:57:40.000Z,244632,10854,291,1269,False,False,False
XGd1dq1BatM,18.26.03,"Halsey - Alone (Audio) ft. Big Sean, Stefflon Don",HalseyVEVO,10,2018-03-15T22:00:01.000Z,2263062,82823,1612,3266,False,False,False
VllA1V5M38E,17.25.12,Republicans Praise Trump; Trump Claims He Repealed Obamacare: A Closer Look,Late Night with Seth Meyers,23,2017-12-22T02:00:01.000Z,1676657,19775,2105,4510,False,False,False
37R2_bvJjGM,18.29.05,I MISS YOU GUYS | Update.,KathleenLights,26,2018-05-23T11:00:00.000Z,484911,26525,972,6347,False,False,False
nranUeNkXpM,17.28.12,CHRISTMAS IS HERE! — A Bad Lip Reading of Donald Trump,Bad Lip Reading,23,2017-12-27T18:07:46.000Z,918375,46147,2653,4178,False,False,False
36YFQTFzZwU,18.07.05,All The Angles: Ricciardo and Verstappen Crash | 2018 Azerbaijan Grand Prix,FORMULA 1,17,2018-04-29T21:30:00.000Z,507513,4605,172,1606,False,False,False
08OhPK2BVIU,18.05.03,DOING MAKE UP WITH GARDENING TOOLS!!,Liza Koshy,23,2018-02-21T23:05:10.000Z,4477723,372514,4295,18506,False,False,False
nc99ccSXST0,17.14.11,5 Ice Cream Gadgets put to the Test,CrazyRussianHacker,28,2017-11-12T21:50:37.000Z,817732,23663,778,3432,False,False,False
TBF7eTSTWLA,18.09.05,GLOW Slime,The King of Random,27,2018-04-29T14:14:35.000Z,794109,16906,650,3691,False,False,False
xejjA2AFO5I,17.05.12,Black Mirror - Metalhead | Official Trailer [HD] | Netflix,Netflix,24,2017-12-03T11:00:04.000Z,433758,5407,108,724,False,False,False
csqXekWeBYo,17.20.12,Dan Le Batard Breaks Down On Air After John Skipper Resigns From ESPN,Sports Lovers n1,22,2017-12-18T19:02:21.000Z,31323,0,0,42,False,True,False
22iCU_bsApA,18.22.03,First Take interviews Trae Young after he declares for NBA draft | First Take | ESPN,ESPN,17,2018-03-21T15:44:45.000Z,386520,4975,180,1659,False,False,False
spuXN0ccRQ8,17.08.12,SHOCKING Science with a Leyden Jar,The King of Random,27,2017-12-03T15:00:03.000Z,876140,18829,1213,3559,False,False,False
uKkbfxTHJGI,18.22.03,10$ Drum - Faded ( Alan Walker ),Big Marvel,10,2018-03-16T22:45:26.000Z,2764096,88455,10846,6797,False,False,False
iDbdXTMnOmE,18.05.01,How to manage your time more effectively (according to machines) - Brian Christian,TED-Ed,27,2018-01-02T15:58:30.000Z,550573,21719,453,591,False,False,False
hbcH02YynOA,18.14.03,FULL GLAM IN 10 MINUTES MAKEUP CHALLENGE W. KRISTEN LEANNE,Laura Lee,26,2018-03-07T22:00:03.000Z,415675,21591,585,13623,False,False,False
zFYFHQq6dgs,18.18.02,5 Ways To Use The Last Bit Of Everything,BuzzFeed Nifty,26,2018-02-14T18:00:20.000Z,310802,6089,182,140,False,False,False
8-fwdc3OSaU,18.16.04,The Triangle Shirtwaist Fire - Horror in Manhattan - Extra History,Extra Credits,27,2018-04-07T17:30:09.000Z,285216,14100,280,2097,False,False,False
kzk4SId9Ab0,18.01.05,WEIRD PRODUCTS | Tati Approved???,Tati,26,2018-04-30T16:00:08.000Z,465864,25025,597,2169,False,False,False
HF27coLl2-w,18.01.03,"✨ FEBRUARY FAVIES 💘 Lazy Oaf, Too Faced, Magical Girls and TUNES 🔥",Pixielocks,22,2018-02-28T17:09:54.000Z,29546,2260,79,896,False,False,False
ZT0CCaKDxjg,18.16.04,Welcome to Iowa,DuckSoss,23,2018-04-02T22:30:31.000Z,3000909,103796,5795,11730,False,False,False
WemDKlmMAIs,18.04.06,Wildlife - Official Teaser I HD I IFC Films,IFC Films,1,2018-05-23T14:00:01.000Z,2127054,3389,76,158,False,False,False
db9Shsd8q8M,18.01.02,Childish Gambino Gives SOULFUL Terrified Performance At 2018 Grammys,Clevver News,24,2018-01-29T06:14:44.000Z,41187,425,57,25,False,False,False
lJmDmfQOWVw,18.20.02,BECOMING ADAM RIPPON // Grace Helbig,Grace Helbig,22,2018-02-16T06:53:21.000Z,131380,8522,158,457,False,False,False
1HJkmKODN4Y,17.12.12,Explosion Takes Place Near New York City Port Authority | TODAY,TODAY,25,2017-12-11T13:38:36.000Z,425866,2018,344,2497,False,False,False
Y4357OXULfc,18.25.01,NERF Pick Your Path Challenge!,Battle Universe!,24,2018-01-17T22:00:02.000Z,969427,12579,466,2753,False,False,False
CaE0JD1X12g,18.15.04,Honest Trailers - The Greatest Showman,Screen Junkies,1,2018-04-10T17:00:01.000Z,1924624,55998,2229,5833,False,False,False
8SxMEqwKVUs,18.15.02,"This Week in Chaos: Nunes & BIEs | February 7, 2018 Act 1, Pt. 2 | Full Frontal on TBS",Full Frontal with Samantha Bee,22,2018-02-08T07:00:00.000Z,468255,5906,1110,721,False,False,False
agOq6iS4aVw,17.12.12,Azealia Banks GOES OFF On Remy Ma For Saying The Female Rap Game Was Nothing Until She Came Home,Youtube Tea,22,2017-12-10T16:08:23.000Z,21633,286,118,424,False,False,False
QgaYsdnOMiM,17.30.11,How To Make A GIANT CANDY CANE Cake w. SURPRISE INSIDE | PEPPERMINT MOCHA | How To Cake It,How To Cake It,26,2017-11-28T16:00:38.000Z,467396,21210,252,2113,False,False,False
r-3iathMo7o,18.18.05,"The ULTIMATE $30,000 Gaming PC Setup",Unbox Therapy,28,2018-05-13T19:00:25.000Z,5484378,117685,9230,14842,False,False,False
lqTKup-wpEU,18.14.04,GOOGLE PICKS MY MAKEUP CHALLENGE! | NikkieTutorials,NikkieTutorials,26,2018-04-09T21:15:13.000Z,2833561,146180,3150,12614,False,False,False
zuVxgSvyffk,18.13.03,This Might Get...(Official Trailer),Mamrie Hart,23,2018-03-03T22:00:52.000Z,128398,5203,290,283,False,False,False
VVMCz04CmlA,18.27.03,SIDEMEN TOTAL WIPEOUT FOOTBALL CHALLENGE,Sidemen,24,2018-03-25T17:00:30.000Z,3756962,142150,4666,12806,False,False,False
AB_u_kOSP8Y,18.18.01,Ronaldinho's most jaw-dropping plays with Barça,FC Barcelona,17,2018-01-17T13:15:53.000Z,199610,10102,50,715,False,False,False
dRfvXL-m7O8,18.29.03,Who's a U.S. citizen? | Lineup | Cut,Cut,24,2018-03-20T16:20:49.000Z,906018,24504,609,1982,False,False,False
qhuKvMRqsk8,18.14.06,I Trained Like A Pop Star For 60 Days,Michelle Khare,24,2018-06-04T15:00:11.000Z,377788,19222,392,1639,False,False,False
e_7zHm7GsYc,17.14.11,Hunter Hayes - You Should Be Loved (Part One Of Pictures),Hunter Hayes,10,2017-11-13T15:01:18.000Z,13917,1318,24,76,False,False,False
GLZZn7lCtcI,17.23.12,FLOYD MAYWEATHER KILLS UFC TALK; DENIES DANA WHITE CLAIM: I'M NOT DOING IT,FightHype.com,17,2017-12-20T20:43:52.000Z,73546,309,43,416,False,False,False
_IoOJu2_FKE,18.03.04,How Ticks Dig In With a Mouth Full of Hooks | Deep Look,Deep Look,28,2018-03-20T12:59:54.000Z,1136355,12239,462,1940,False,False,False
4kDklB6-69Q,18.20.04,Poo Bear ft. Justin Bieber & Jay Electronica - Hard 2 Face Reality (Lyric Video),Hannah Stocking,23,2018-04-06T04:00:20.000Z,22907590,730678,13289,56988,False,False,False
gkvhlo4a5iQ,17.04.12,What If We Destroyed the Moon?,RealLifeLore,27,2017-12-02T15:30:01.000Z,494592,18621,490,2526,False,False,False
oQxKEtoHygY,17.14.12,DJ Earworm Mashup - United State of Pop 2017 (How We Do It),Dj Earworm,10,2017-12-13T17:05:43.000Z,124338,8194,902,1507,False,False,False
mAfkkgw_-68,18.17.05,We Tried To Re-Create This Giant Cinnamon Roll,Tasty,26,2018-05-12T15:00:32.000Z,1422235,32443,672,1702,False,False,False
JGo_a82jfj8,18.22.05,ADULTS REACT TO EUROVISION SONG CONTEST 2018,FBE,24,2018-05-18T21:00:00.000Z,1713145,45314,3341,15776,False,False,False
BWPrk9PUwQE,17.14.11,iPhone X vs Makeup Transformation (Face ID TEST),dope2111,26,2017-11-12T00:45:54.000Z,1456472,33505,1660,2160,False,False,False
CiFnp-oKZQc,18.02.04,Emily Blunt Finds The Idea Of Mary Poppins A Little Creepy,The Late Show with Stephen Colbert,22,2018-03-30T07:35:00.000Z,568803,5242,229,505,False,False,False
e5D3O4yCmCg,18.09.03,TULLY - Official Trailer [HD] - In Theaters April 20,Focus Features,24,2018-03-07T02:00:04.000Z,2377832,2591,170,370,False,False,False
RoIJtobSOqc,18.23.04,Everything Wrong With Ferdinand In 16 Minutes Or Less,CinemaSins,1,2018-04-10T15:58:09.000Z,1870014,32127,1928,4529,False,False,False
d1D1SJ-KqaQ,18.07.04,WINNER - ‘EVERYDAY’ M/V,WINNER,10,2018-04-04T09:00:04.000Z,7645152,431157,8008,42238,False,False,False
Zq5ESvmKagc,18.08.06,BTS So Happy Challenge with Brent Rivera | Radio Disney Music Awards,radiodisney,10,2018-06-03T00:45:00.000Z,1886404,203363,1002,18353,False,False,False
s3ChukSDGRU,18.25.03,Bellatrix & Credence Are Related?! | Fantastic Beasts Theory,SuperCarlinBrothers,22,2018-03-14T01:04:39.000Z,416508,16856,324,1890,False,False,False
yAqHUwjnue4,18.13.05,Roma vs. Liverpool | 2017-18 UEFA Champions League Highlights,FOX Soccer,17,2018-05-02T21:58:41.000Z,575083,3632,205,1064,False,False,False
9t9u_yPEidY,17.14.11,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",JenniferLopezVEVO,10,2017-11-10T15:00:00.000Z,9548677,190083,15015,11473,False,False,False
Js3WIRF595U,18.05.01,New Year New MKBHD!,Marques Brownlee,28,2018-01-02T22:35:32.000Z,971780,80272,735,4421,False,False,False
YMdo_0H1thU,18.25.05,Unbreakable Kimmy Schmidt: Season 4 | Official Trailer [HD] | Netflix,Netflix,24,2018-05-16T18:00:01.000Z,280199,7749,157,472,False,False,False
ZO4CMPCmFDE,18.23.02,I Followed My Dad Around With a Confetti Cannon.... // Tank Top Moy,Kylie Moy,24,2018-02-22T00:50:24.000Z,674629,11308,267,767,False,False,False
nZM9Ko806Bg,18.01.01,How I Skinned My Face,William Osman,28,2017-12-21T14:00:04.000Z,445540,19817,444,2251,False,False,False
S9Xg6iUxYXU,18.01.02,Here’s what you missed at the 2018 Grammy Awards,Washington Post,25,2018-01-29T05:17:09.000Z,797881,4293,2468,2440,False,False,False
JwivtxQEmc8,18.19.05,Brad Pitt Returns as the Weatherman - The Jim Jefferies Show,Comedy Central,23,2018-05-06T15:32:25.000Z,484578,5262,599,357,False,False,False
dNW0B0HsvVs,18.06.02,Solo: A Star Wars Story Official Teaser,Star Wars,24,2018-02-05T13:28:28.000Z,5563479,130763,13507,28522,False,False,False
oTObwUiXdYY,17.14.11,"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",TIME,25,2017-11-13T15:44:35.000Z,5304,52,13,68,False,False,False
yMf3dvNzXbU,18.14.04,The Birth of Superman,Studio C,23,2018-03-27T22:00:02.000Z,566518,18976,406,1923,False,False,False
HbKnEQdCjGg,18.28.02,Lewis Capaldi - Rush (Official Audio) ft. Jessie Reyez,LewisCapaldiVEVO,10,2018-02-23T00:00:00.000Z,211801,11374,119,414,False,False,False
Z2ttpo7c95s,18.24.05,Officials Warn Largest Hawaii Volcano Eruption Is ‘Imminent’ | NBC Nightly News,NBC News,25,2018-05-15T00:44:16.000Z,1001225,5080,566,2159,False,False,False
4h-XOckOwN8,17.18.12,What Happens If You Fill Up a Car with Coca-Cola?,TechRax,24,2017-12-15T21:49:00.000Z,1354019,38877,6092,6614,False,False,False
dkD1l8iKedE,17.16.12,Live Q&A!,Merrell Twins Live,22,2017-12-12T23:08:40.000Z,43423,3042,31,404,False,False,False
