carat,cut,color,clarity,depth,table,price,x,y,z
0.23,Ideal,E,SI2,61.5,55,326,3.95,3.98,2.43
0.38,Very Good,G,SI1,62,54.8,755,4.64,4.67,2.89
2.4,Premium,F,SI2,62.6,59,16797,8.53,8.49,5.33
0.96,Premium,I,SI2,59.1,62,2454,6.48,6.38,3.79
0.31,Good,J,SI2,63.3,58,335,4.34,4.35,2.75
0.51,Very Good,I,SI2,63.3,58,995,5.09,5.02,3.2
0.52,Ideal,D,VS2,60.3,56,1802,5.27,5.24,3.17
0.55,Ideal,I,VVS1,61.7,56,1593,5.24,5.29,3.25
0.44,Ideal,H,SI1,60.9,57,1069,4.92,4.9,2.99
0.32,Ideal,G,VS1,61.3,57,828,4.4,4.37,2.69
0.7,Very Good,I,VVS1,62.9,58,2513,5.65,5.67,3.56
0.93,Ideal,E,VS2,62.4,56,5411,6.26,6.3,3.92
0.34,Ideal,D,VS2,61.4,55,967,4.51,4.54,2.78
0.39,Premium,H,SI2,62.4,59,721,4.65,4.58,2.88
0.2,Premium,E,SI2,60.2,62,345,3.79,3.75,2.27
0.41,Very Good,F,SI1,62.6,55,755,4.74,4.78,2.98
0.34,Good,H,SI1,63.7,57,628,4.45,4.44,2.83
0.42,Very Good,H,VS2,60.9,55,1190,4.87,4.89,2.97
0.81,Premium,E,SI2,60.1,59,2368,6.09,6.03,3.65
1.05,Ideal,F,VVS2,62.1,54,9092,6.52,6.55,4.06
1.01,Very Good,G,VS1,63.1,59,5294,6.32,6.23,3.96
1.09,Premium,H,VS2,61.4,58,5677,6.64,6.58,4.06
0.31,Ideal,H,VVS2,62.4,56,802,4.38,4.34,2.72
0.32,Very Good,F,VS2,61.5,59.7,624,4.32,4.39,2.68
0.31,Very Good,J,SI1,58.1,62,353,4.44,4.47,2.59
0.39,Very Good,G,VS2,60.4,61,734,4.71,4.73,2.85
0.41,Premium,F,VS2,61.3,58,1107,4.84,4.79,2.95
1.01,Very Good,D,VS2,60.6,56,7001,6.45,6.51,3.93
0.4,Very Good,E,SI1,59.8,61,684,4.76,4.81,2.86
0.5,Very Good,E,VVS2,59.1,61,2106,5.19,5.23,3.08
0.46,Ideal,I,VS2,62.2,54.7,893,4.95,4.97,3.09
0.4,Very Good,F,VS1,62.2,55,786,4.68,4.74,2.93
0.23,Very Good,E,VS1,60.7,59,402,3.97,4.01,2.42
2.24,Premium,H,SI2,61.4,57,16656,8.43,8.35,5.15
0.41,Very Good,F,IF,63.3,56,1255,4.69,4.75,2.99
0.23,Good,F,VS1,58.2,59,402,4.06,4.08,2.37
0.23,Good,E,VS1,64.1,59,402,3.83,3.85,2.46
0.31,Good,H,SI1,64,54,402,4.29,4.31,2.75
0.41,Premium,G,VS2,61.4,59,827,4.75,4.79,2.93
1,Ideal,E,SI1,61.7,55,5938,6.44,6.49,3.99
0.48,Ideal,F,VS2,62.4,54,1279,5.03,5.03,3.15
1.02,Very Good,D,SI1,63.3,58,5598,6.39,6.35,4.03
0.4,Very Good,D,SI1,63.1,57,924,4.73,4.69,2.97
0.26,Good,D,VS1,58.4,63,403,4.19,4.24,2.46
1.5,Premium,I,SI2,62.9,57,6132,7.28,7.26,4.57
1.09,Very Good,H,SI1,61.8,58,4784,6.58,6.63,4.08
1.26,Good,G,SI1,63.2,61,6874,6.81,6.87,4.32
0.34,Ideal,G,VVS1,62.5,53,956,4.49,4.47,2.8
2,Good,H,SI1,63.6,58,16650,7.96,7.87,5.03
1.51,Very Good,H,SI1,63.3,57,10053,7.23,7.34,4.61
1.02,Ideal,F,VVS2,61.1,56.3,9521,6.48,6.52,3.97
1.5,Very Good,H,VS2,62,55,9706,7.26,7.37,4.57
0.55,Ideal,I,VS2,61.8,55,1374,5.28,5.32,3.27
1.61,Very Good,J,VS2,61.7,59,7703,7.46,7.51,4.62
2.04,Good,D,SI1,61.9,60,18468,8.15,8.11,5.03
0.3,Ideal,I,SI2,61,59,405,4.3,4.33,2.63
0.3,Premium,J,SI2,59.3,61,405,4.43,4.38,2.61
0.32,Very Good,H,VVS2,62.1,58,645,4.34,4.39,2.71
0.5,Very Good,G,VVS1,59.6,63,1887,5.11,5.16,3.06
1.11,Very Good,E,SI2,62,58,4769,6.61,6.68,4.12
1.5,Good,I,VS2,57.8,60,8702,7.54,7.5,4.35
1.34,Good,H,VS2,59.1,60,8109,7.15,7.19,4.24
1.04,Ideal,F,SI1,61.3,56,5495,6.51,6.55,4
0.4,Good,I,VVS1,63.3,57,842,4.67,4.71,2.97
0.3,Very Good,G,VVS1,62.7,59,789,4.22,4.27,2.66
0.66,Ideal,H,VS2,61.4,56,2178,5.62,5.65,3.46
1.5,Good,E,SI2,63.9,58,9072,7.26,7.21,4.62
0.23,Good,D,VVS2,61.8,65,452,3.9,3.93,2.42
0.43,Premium,D,SI1,61,57,993,4.88,4.85,2.97
0.31,Ideal,D,SI2,62.3,56,593,4.38,4.35,2.72
0.31,Ideal,E,VVS1,61.1,56,865,4.38,4.42,2.69
0.3,Ideal,E,VS2,62.3,56,658,4.28,4.32,2.68
0.52,Ideal,E,VS1,60,56,1883,5.25,5.29,3.16
0.3,Premium,H,SI1,62.5,57,554,4.29,4.25,2.67
1.05,Premium,G,IF,60.6,60,9012,6.59,6.57,3.99
0.51,Ideal,F,VVS2,62.2,55,1998,5.12,5.11,3.18
0.47,Fair,E,VS2,56.3,64,1075,5.19,5.14,2.91
1.14,Ideal,E,VVS2,61.6,57,11206,6.68,6.73,4.13
1.22,Ideal,I,SI1,62.3,58,6398,6.8,6.82,4.24
0.3,Very Good,F,IF,62.1,57,886,4.26,4.3,2.66
0.67,Fair,F,SI1,56,67,1642,5.81,5.78,3.25
0.26,Very Good,D,VVS1,62.1,60,554,4.03,4.12,2.53
0.35,Premium,D,SI1,61.5,58,772,4.55,4.53,2.79
0.75,Ideal,J,VS2,61.5,54,2001,5.87,5.9,3.62
0.26,Good,E,VVS1,57.9,60,554,4.22,4.25,2.45
0.44,Ideal,D,VS2,60.4,56,1081,4.91,4.95,2.98
1.09,Good,D,VS1,63.9,57,7493,6.57,6.49,4.17
2.05,Premium,J,VS1,62.4,58,14224,8.08,8.13,5.06
2.11,Ideal,I,VS1,61.9,57,16723,8.28,8.22,5.11
1.02,Very Good,D,VS2,62.7,58,6974,6.35,6.44,4.01
0.7,Ideal,E,SI1,62.5,57,2757,5.7,5.72,3.57
0.72,Ideal,F,SI2,61.6,57,2074,5.75,5.68,3.52
0.7,Ideal,G,VS2,61.6,56,2757,5.7,5.67,3.5
1.04,Ideal,G,VS2,60.8,57,6529,6.55,6.57,3.99
0.5,Very Good,G,SI1,62.1,59,1237,5.09,5.12,3.17
0.71,Good,I,VS2,61.1,60.6,2145,5.71,5.74,3.49
0.3,Ideal,E,VS2,62.3,57,844,4.3,4.27,2.67
1.53,Premium,H,SI1,62,60,7608,7.31,7.27,4.55
0.5,Ideal,F,VS2,62.4,56,1404,5.1,5.13,3.19
1.3,Ideal,I,VS1,62.1,57,6931,7.04,6.98,4.35
0.78,Very Good,J,VS2,63,58,2312,5.84,5.87,3.69
