성별,나이,공부시간_범주,과락과목수,외출빈도,기말성적
F,18,2,0,4,6
F,17,2,0,3,6
F,15,2,3,2,10
F,15,3,0,2,15
F,16,2,0,2,10
M,16,2,0,2,15
M,16,2,0,4,11
F,17,2,0,4,6
M,15,2,0,2,19
M,15,2,0,1,15
F,15,2,0,3,9
F,15,3,0,2,12
M,15,1,0,3,14
M,15,2,0,3,11
M,15,3,0,2,16
F,16,1,0,4,14
F,16,3,0,3,14
F,16,2,0,2,10
M,17,1,3,5,5
M,16,1,0,3,10
M,15,2,0,1,15
M,15,1,0,2,15
M,16,2,0,1,16
M,16,2,0,4,12
F,15,3,0,2,8
F,16,1,2,2,8
M,15,1,0,2,11
M,15,1,0,4,15
M,16,2,0,3,11
M,16,2,0,5,11
M,15,2,0,2,12
M,15,2,0,1,17
M,15,2,0,2,16
M,15,2,0,2,12
M,16,1,0,3,15
F,15,1,0,1,6
M,15,3,0,3,18
M,16,3,0,3,15
F,15,3,0,2,11
F,15,1,0,1,13
F,16,2,1,3,11
M,15,1,0,3,12
M,15,2,0,3,18
M,15,1,0,1,11
F,16,2,1,3,9
F,15,2,0,2,6
F,16,2,0,5,11
M,16,4,0,2,20
M,15,2,0,3,14
F,15,2,1,4,7
F,16,2,0,3,13
F,15,2,0,3,13
M,15,1,1,5,10
F,15,1,0,4,11
F,15,1,0,4,13
F,16,2,0,4,10
F,15,2,0,2,15
M,15,2,0,2,15
M,15,2,0,2,9
F,16,2,0,3,16
F,16,2,0,4,11
F,16,1,0,5,11
F,16,2,0,3,9
F,16,3,0,4,9
F,15,2,0,4,10
F,16,2,0,3,15
M,15,4,0,3,12
F,16,4,0,3,6
F,15,2,0,3,8
F,15,4,0,2,16
M,16,4,0,2,15
M,15,4,0,3,10
F,15,2,2,4,5
M,16,1,0,2,14
F,16,2,0,3,11
M,15,2,0,3,10
M,15,4,0,3,10
F,16,4,0,3,11
M,17,1,3,1,10
F,16,2,0,3,5
M,15,1,0,2,12
M,15,3,0,2,11
F,15,2,0,4,6
M,15,2,0,3,15
F,15,2,0,2,10
F,15,2,2,4,8
F,16,2,0,4,6
F,15,3,0,3,14
M,16,2,1,2,10
M,16,2,0,3,7
F,16,3,0,3,8
F,15,1,0,5,18
F,16,2,0,3,6
F,16,2,0,3,10
M,15,4,0,4,14
F,15,4,1,2,10
M,16,1,0,3,15
F,16,2,0,5,10
F,16,1,0,4,14
F,16,3,0,5,8
M,16,1,0,5,5
M,16,3,0,3,17
M,15,1,0,3,14
F,15,2,0,5,6
M,15,2,0,4,18
F,15,4,0,3,11
F,15,4,0,2,8
M,16,3,0,3,18
M,15,4,0,5,13
F,16,3,0,5,16
M,15,1,0,3,19
F,16,3,1,2,10
F,16,2,1,2,13
M,15,1,0,2,19
M,15,2,0,2,9
M,16,2,0,4,16
M,15,2,0,3,14
M,16,1,0,2,13
M,17,2,1,4,8
M,15,1,0,3,13
F,15,2,0,3,15
M,15,4,0,4,15
F,16,2,0,2,13
M,16,1,0,4,13
F,16,2,0,4,8
M,15,1,0,5,12
F,15,2,0,2,11
F,19,2,3,2,9
M,18,1,2,3,0
M,16,1,0,5,18
F,15,3,2,2,0
F,15,1,0,3,0
F,17,1,0,4,12
F,16,1,0,1,11
M,15,2,0,3,0
F,15,3,0,3,0
M,17,2,0,5,0
F,16,1,2,2,0
M,16,2,1,4,12
F,15,1,0,2,15
M,15,4,0,2,0
M,16,1,2,3,9
F,15,3,0,2,11
F,16,1,0,4,13
M,17,1,3,5,0
F,15,2,0,2,11
F,15,2,3,2,0
F,15,2,0,2,11
M,16,1,0,2,0
M,15,1,3,5,10
M,18,1,3,5,0
M,16,1,1,4,14
F,15,3,2,1,10
M,19,1,3,4,0
F,17,1,0,1,12
M,15,2,0,4,8
M,17,1,0,2,13
F,18,1,3,5,10
M,16,1,0,2,15
M,16,2,1,5,12
M,17,1,2,2,0
M,15,2,2,4,7
M,16,1,1,4,0
M,17,1,0,3,10
M,17,2,3,5,7
M,16,1,1,2,12
M,16,2,0,5,10
F,16,2,0,3,16
F,16,2,0,5,0
F,16,2,0,2,14
M,16,1,2,5,0
M,16,2,0,2,16
M,17,2,0,4,10
F,16,2,3,5,0
F,16,2,0,5,9
M,17,2,0,4,9
F,16,2,0,4,11
M,17,2,0,4,6
M,16,1,0,3,9
M,17,2,0,3,11
M,16,2,0,3,8
M,16,2,0,3,12
F,17,2,0,2,17
F,17,2,0,3,8
F,16,2,0,2,12
M,17,2,0,4,11
M,16,1,0,3,11
M,16,2,0,3,15
F,17,2,0,3,9
M,17,2,0,3,10
F,16,2,0,3,13
F,17,2,0,3,9
M,17,2,0,4,8
M,16,1,0,2,10
M,16,1,0,3,14
F,17,2,0,2,15
M,17,1,0,3,16
M,16,1,0,4,10
F,17,1,1,4,18
F,16,2,0,2,10
F,16,2,0,5,16
F,16,2,0,3,10
F,17,2,0,4,10
F,17,1,0,2,6
F,16,4,0,5,11
F,17,3,1,3,9
F,16,2,3,3,7
F,16,2,0,2,13
F,16,1,0,2,10
F,17,3,0,2,7
F,19,4,0,3,8
M,17,2,0,5,13
F,16,2,0,4,14
M,18,2,1,4,8
F,17,1,0,1,10
F,17,2,0,4,15
F,17,2,2,5,4
M,18,2,1,4,8
F,17,1,0,3,8
F,17,3,0,3,10
F,17,2,0,5,6
F,17,3,1,4,0
F,16,2,0,1,17
M,18,2,0,3,13
F,16,3,0,2,14
F,18,2,1,3,7
F,17,2,0,4,15
M,17,2,0,3,12
M,18,2,0,2,9
F,17,3,0,3,12
F,17,2,0,3,14
M,17,2,0,2,11
M,17,2,0,5,9
M,16,2,0,4,13
M,16,2,0,2,6
M,16,3,0,3,10
M,17,2,0,2,13
F,16,1,0,2,12
F,17,2,0,1,11
M,18,2,1,4,0
M,17,2,0,5,12
M,17,2,0,3,12
M,16,1,0,5,0
M,16,1,0,2,12
F,18,3,0,4,0
M,16,1,0,3,18
M,17,1,0,2,13
M,22,1,3,5,8
M,18,2,1,3,5
M,16,1,0,2,15
M,18,1,1,5,8
M,16,2,0,3,10
M,18,1,1,5,8
M,16,1,0,2,8
M,17,1,0,2,12
M,17,1,1,4,8
F,17,4,0,3,13
M,19,2,0,1,11
M,18,2,0,4,14
F,17,4,0,1,0
F,18,2,0,2,18
M,18,2,0,2,8
M,18,3,0,2,12
F,17,3,0,3,9
F,18,3,0,3,0
M,18,2,0,5,17
M,17,2,0,4,10
F,18,2,0,4,11
M,18,2,0,5,10
F,18,2,0,5,0
F,19,2,2,5,9
F,18,4,0,5,14
F,18,2,0,3,11
M,17,2,0,2,14
F,17,2,0,3,10
F,17,2,0,4,12
F,18,2,0,1,9
M,18,1,0,4,9
F,18,2,1,4,8
M,18,1,0,3,10
M,17,1,0,4,8
M,17,1,1,4,10
F,18,4,0,2,12
F,18,2,0,4,10
F,17,2,0,5,11
M,17,2,0,3,11
F,18,3,0,3,19
F,17,3,0,3,12
M,18,3,0,4,14
M,18,2,0,3,15
M,18,2,0,2,11
F,17,3,0,2,15
F,18,2,1,3,13
F,17,4,0,2,18
M,18,3,0,2,14
M,17,1,0,3,11
F,19,2,0,4,0
F,18,2,0,5,8
F,18,4,0,3,14
M,18,1,0,2,16
F,18,2,0,4,11
M,17,1,0,1,10
F,17,3,0,3,14
F,17,4,0,2,18
M,19,2,1,4,13
F,18,2,1,3,12
M,20,1,0,3,18
M,19,1,1,4,8
M,19,2,1,3,12
F,19,2,1,3,10
F,19,2,1,4,0
F,19,2,0,1,13
M,19,2,1,2,11
F,19,2,1,2,11
F,19,3,2,2,13
F,19,3,1,2,11
F,18,2,0,3,0
F,18,3,0,4,9
F,17,3,0,4,10
F,18,2,0,4,11
F,17,2,0,2,13
F,17,2,0,2,9
F,17,3,0,2,11
F,17,3,0,3,15
F,17,3,0,3,15
M,18,3,0,3,11
M,17,1,0,5,16
M,17,1,0,5,10
F,17,3,0,4,9
F,17,3,0,3,14
M,18,4,0,5,8
F,17,3,0,3,14
F,18,2,0,4,0
F,18,2,0,3,0
F,18,4,0,4,0
F,17,3,0,5,15
F,19,3,1,3,13
F,17,2,0,2,0
F,18,4,0,3,17
F,17,2,0,3,10
F,19,3,1,4,11
M,18,2,1,3,0
M,18,2,0,3,15
F,17,2,1,1,0
F,18,3,0,3,10
F,18,3,0,3,14
M,18,3,0,2,16
M,18,3,0,5,9
F,17,3,0,3,15
M,18,1,1,5,13
M,19,2,3,4,8
M,17,2,0,4,13
M,18,1,1,3,8
M,19,1,1,4,8
M,17,2,0,5,11
F,18,2,0,4,9
F,17,2,0,3,13
F,17,2,0,3,11
M,18,1,0,2,10
F,18,3,0,2,16
F,18,2,0,4,13
M,18,2,1,3,12
F,18,2,0,2,10
F,17,2,0,4,15
F,17,2,0,2,12
M,18,2,0,4,10
M,18,3,0,2,13
F,17,1,1,1,0
F,18,1,0,3,10
F,18,2,0,2,11
F,19,2,2,2,9
M,18,1,0,3,12
F,17,3,0,3,11
F,17,1,0,5,5
F,18,3,0,4,19
F,18,3,0,2,10
F,20,3,2,3,15
F,18,2,0,3,10
F,18,2,0,3,15
F,17,2,0,4,10
M,18,2,0,4,14
M,18,1,0,3,7
M,17,2,0,3,10
M,19,1,1,2,0
M,18,1,1,3,5
F,18,3,0,3,10
F,18,1,0,3,6
F,19,3,1,2,0
F,18,2,0,4,8
F,18,2,1,1,0
M,20,2,2,4,9
M,17,1,0,5,16
M,21,1,3,3,7
M,18,1,0,1,10
M,19,1,0,3,9
