도시,날짜,PM25,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,벤젠,톨루엔,자일렌,AQI,AQI등급
Delhi,2020-02-09,151.43,247.62,35.28,50.75,60.36,40.04,1.29,14.64,36.29,4.35,17.47,0.46,310.0,Very Poor
Ahmedabad,2015-01-07,,,112.16,40.62,130.77,,112.16,32.28,33.47,0.0,0.0,0.0,,
Ahmedabad,2015-01-19,,,2.51,26.88,27.45,,2.51,50.03,49.48,0.26,0.02,2.8,,
Ahmedabad,2015-01-23,,,22.53,27.96,47.79,,22.53,39.19,32.92,0.39,0.0,5.95,,
Chennai,2020-01-10,40.76,69.94,10.51,17.3,27.69,52.55,0.77,9.65,28.3,0.05,0.0,,74.0,Satisfactory
Ahmedabad,2015-02-06,79.29,,1.16,26.94,26.83,,1.16,67.41,59.3,0.0,0.0,0.0,190.0,Moderate
Ahmedabad,2015-02-08,74.28,,8.92,27.3,33.42,,8.92,54.28,47.42,0.0,0.0,0.27,379.0,Very Poor
Kolkata,2019-08-08,11.36,22.78,7.95,16.73,24.05,9.84,0.4,2.49,14.48,12.36,8.82,2.28,34.0,Good
Lucknow,2015-04-25,39.98,,4.04,12.56,5.65,,2.75,42.87,19.56,3.57,3.39,,160.0,Moderate
Ahmedabad,2015-02-15,113.25,,15.55,30.5,44.87,,15.55,69.71,33.78,10.47,28.53,3.22,475.0,Severe
Mumbai,2015-05-28,,,,,23.57,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,2015-03-05,173.01,,48.44,42.27,90.73,,48.44,78.76,59.39,9.72,9.96,4.13,780.0,Severe
Talcher,2020-04-03,34.17,73.46,85.48,5.83,7.75,13.72,2.02,,106.75,0.0,,,,
Ahmedabad,2015-03-10,106.71,,5.39,25.59,30.51,,5.39,38.85,60.17,5.58,14.17,1.74,297.0,Poor
Lucknow,2018-06-07,85.89,,2.18,15.65,22.53,38.07,0.68,9.96,11.79,0.0,0.0,,127.0,Moderate
Hyderabad,2015-04-27,40.78,,4.46,28.32,32.78,,0.89,15.72,39.31,,,,86.0,Satisfactory
Thiruvananthapuram,2019-01-04,44.94,80.7,2.84,11.76,8.21,5.63,0.05,22.19,78.4,,,,124.0,Moderate
Ahmedabad,2015-03-31,133.3,,6.52,20.0,26.18,,6.52,51.58,59.03,9.94,21.13,2.31,339.0,Very Poor
Ahmedabad,2015-04-02,77.69,,5.24,18.87,23.06,,5.24,100.48,27.14,9.49,11.77,1.6,222.0,Poor
Thiruvananthapuram,2019-03-19,33.45,65.23,0.93,7.64,4.4,3.32,0.89,7.03,48.67,,,,80.0,Satisfactory
Ahmedabad,2015-04-05,156.76,,3.92,16.7,20.97,,3.92,26.32,37.11,3.88,10.78,0.97,,
Delhi,2017-07-22,18.54,,20.65,19.9,4.52,23.32,0.0,,,0.03,0.0,,30.0,Good
Ernakulam,2020-03-25,15.93,31.35,2.06,3.5,5.28,3.41,1.15,3.47,,0.02,0.08,0.0,61.0,Satisfactory
Thiruvananthapuram,2017-10-28,,,,,0.0,5.19,0.0,,,,,,,
Visakhapatnam,2016-09-13,22.89,54.42,16.53,28.03,25.98,17.05,0.59,18.84,27.81,5.33,9.74,5.88,73.0,Satisfactory
Ahmedabad,2015-04-14,58.37,,5.74,21.71,27.69,,5.74,25.9,43.92,2.15,10.46,5.4,244.0,Poor
Hyderabad,2016-08-19,,,,,0.0,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,2015-04-22,63.38,,3.44,13.28,15.44,,3.44,24.79,43.62,0.0,0.0,1.23,189.0,Moderate
Gurugram,2018-04-28,,,,,14.61,,0.0,,,3.17,,,,
Mumbai,2020-05-09,14.21,54.67,17.02,5.12,18.7,4.03,0.3,32.49,21.56,3.11,,,67.0,Satisfactory
Ahmedabad,2015-04-26,107.5,,5.29,15.56,19.73,,5.29,74.37,10.12,0.09,0.16,2.91,239.0,Poor
Gurugram,2018-12-20,133.58,265.0,124.65,80.65,123.06,,0.45,11.98,31.04,0.0,0.0,,288.0,Poor
Patna,2018-11-26,260.83,,38.96,6.61,23.81,,3.01,35.12,,5.78,34.65,21.44,405.0,Severe
Ahmedabad,2015-05-04,86.31,,2.69,10.5,10.9,,2.69,50.13,90.54,0.47,0.15,12.8,308.0,Very Poor
Ahmedabad,2015-05-07,51.03,,6.24,20.47,26.2,,6.24,15.5,31.44,0.0,0.0,1.29,158.0,Moderate
Hyderabad,2016-04-22,41.99,103.25,11.78,41.0,28.75,22.04,1.06,6.03,40.99,1.16,6.37,1.79,100.0,Satisfactory
Patna,2015-10-25,197.17,,116.61,40.47,157.07,,1.24,4.1,9.82,0.42,2.29,0.98,,
Ahmedabad,2015-05-15,129.27,,14.28,28.33,41.92,,14.28,70.13,25.4,16.9,44.19,4.97,327.0,Very Poor
Ahmedabad,2015-05-24,46.89,,2.96,16.17,18.49,,2.96,41.96,10.74,3.41,8.87,3.53,129.0,Moderate
Gurugram,2018-03-13,75.25,173.32,26.5,45.01,44.0,,1.15,,82.93,,,,201.0,Poor
Thiruvananthapuram,2020-06-17,27.92,57.72,10.42,12.51,19.56,8.53,0.54,5.72,15.06,,,,58.0,Satisfactory
Hyderabad,2017-03-22,60.92,175.69,12.57,52.0,14.03,26.07,0.17,21.17,68.16,0.16,2.49,0.75,171.0,Moderate
Jorapokhar,2019-04-05,57.54,112.16,8.91,9.56,,6.32,,4.01,4.35,,,,114.0,Moderate
Thiruvananthapuram,2017-08-19,12.91,37.2,1.88,6.51,4.97,,0.92,2.99,13.21,,,,56.0,Satisfactory
Delhi,2018-02-21,172.99,346.46,72.82,92.54,94.31,49.47,2.42,13.97,57.47,5.24,8.8,0.93,347.0,Very Poor
Ahmedabad,2015-06-11,36.98,,8.21,11.52,19.74,,8.21,0.52,5.17,3.63,8.16,1.33,215.0,Poor
Ahmedabad,2015-06-16,37.71,,8.54,16.26,24.8,,8.54,0.87,4.6,2.52,7.61,0.81,198.0,Moderate
Chennai,2019-08-09,22.61,29.99,7.91,17.47,24.91,42.18,0.65,5.14,37.47,0.37,1.16,,70.0,Satisfactory
Hyderabad,2020-02-09,41.49,67.47,12.81,27.11,23.16,16.83,0.49,5.98,17.12,0.32,1.5,0.0,82.0,Satisfactory
Mumbai,2017-01-17,,,,,,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,2015-06-27,62.61,,9.15,9.83,18.98,,9.15,12.31,6.44,1.87,5.47,0.37,231.0,Poor
Mumbai,2017-03-15,,,,,,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,2015-07-07,42.68,,9.74,11.08,20.82,,9.74,10.87,4.44,1.62,4.96,0.39,226.0,Poor
