주코드,총사고율,과속비율,음주비율,자동차보험료_USD
AL,18.8,7.332,5.64,784.55
AK,18.1,7.421,4.525,1053.48
AZ,18.6,6.51,5.208,899.47
AR,22.4,4.032,5.824,827.34
CA,12.0,4.2,3.36,878.41
CO,13.6,5.032,3.808,835.5
CT,10.8,4.968,3.888,1068.73
DE,16.2,6.156,4.86,1137.87
DC,5.9,2.006,1.593,1273.89
FL,17.9,3.759,5.191,1160.13
GA,15.6,2.964,3.9,913.15
HI,17.5,9.45,7.175,861.18
ID,15.3,5.508,4.437,641.96
IL,12.8,4.608,4.352,803.11
IN,14.5,3.625,4.205,710.46
IA,15.7,2.669,3.925,649.06
KS,17.8,4.806,4.272,780.45
KY,21.4,4.066,4.922,872.51
LA,20.5,7.175,6.765,1281.55
ME,15.1,5.738,4.53,661.88
MD,12.5,4.25,4.0,1048.78
MA,8.2,1.886,2.87,1011.14
MI,14.1,3.384,3.948,1110.61
MN,9.6,2.208,2.784,777.18
MS,17.6,2.64,5.456,896.07
MO,16.1,6.923,5.474,790.32
MT,21.4,8.346,9.416,816.21
NE,14.9,1.937,5.215,732.28
NV,14.7,5.439,4.704,1029.87
NH,11.6,4.06,3.48,746.54
NJ,11.2,1.792,3.136,1301.52
NM,18.4,3.496,4.968,869.85
NY,12.3,3.936,3.567,1234.31
NC,16.8,6.552,5.208,708.24
ND,23.9,5.497,10.038,688.75
OH,14.1,3.948,4.794,697.73
OK,19.9,6.368,5.771,881.51
OR,12.8,4.224,3.328,804.71
PA,18.2,9.1,5.642,905.99
RI,11.1,3.774,4.218,1148.99
SC,23.9,9.082,9.799,858.97
SD,19.4,6.014,6.402,669.31
TN,19.5,4.095,5.655,767.91
TX,19.4,7.76,7.372,1004.75
UT,11.3,4.859,1.808,809.38
VT,13.6,4.08,4.08,716.2
VA,12.7,2.413,3.429,768.95
WA,10.6,4.452,3.498,890.03
WV,23.8,8.092,6.664,992.61
WI,13.8,4.968,4.554,670.31
WY,17.4,7.308,5.568,791.14
