도시,날짜,PM25,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,벤젠,톨루엔,자일렌,AQI,AQI등급
Chennai,2015-11-02,41.44,,9.98,11.73,15.99,56.08,1.34,10.96,61.39,30.77,38.46,,142.0,Moderate
Delhi,2020-02-09,151.43,247.62,35.28,50.75,60.36,40.04,1.29,14.64,36.29,4.35,17.47,0.46,310.0,Very Poor
Lucknow,2020-04-20,49.13,,2.34,14.48,9.47,42.2,1.03,6.62,19.7,28.58,6.37,,91.0,Satisfactory
Ahmedabad,2015-01-04,,,1.7,18.48,17.97,,1.7,18.59,36.08,4.43,10.14,1.0,,
Ahmedabad,2015-01-05,,,22.1,21.42,37.76,,22.1,39.33,39.31,7.01,18.89,2.78,,
Mumbai,2018-08-30,26.49,67.74,9.12,31.34,40.48,,1.29,11.08,47.01,0.47,,,71.0,Satisfactory
Ahmedabad,2015-01-07,,,112.16,40.62,130.77,,112.16,32.28,33.47,0.0,0.0,0.0,,
Chennai,2016-08-11,33.51,,5.49,14.2,12.84,132.69,3.33,3.39,21.82,1.09,3.52,,155.0,Moderate
Visakhapatnam,2018-10-04,62.23,141.49,15.72,37.26,32.44,27.72,0.66,3.19,18.47,5.1,11.79,4.11,117.0,Moderate
Ahmedabad,2015-01-10,,,,7.04,0.0,,,8.29,4.55,0.0,0.0,0.0,,
Ahmedabad,2015-01-11,,,132.07,55.8,24.53,,132.07,25.03,6.79,0.0,0.0,0.0,,
Shillong,2020-03-14,53.61,75.81,0.91,2.58,1.02,2.72,0.32,5.3,49.53,430.75,430.66,,86.0,Satisfactory
Mumbai,2015-08-05,,,,,19.96,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,2015-01-14,,,19.2,27.86,33.05,,19.2,52.65,20.96,2.16,2.26,5.19,,
Lucknow,2015-10-03,60.88,,15.66,14.19,4.66,,3.44,3.67,36.79,0.33,0.22,,220.0,Poor
Jaipur,2018-10-13,59.86,129.21,11.34,35.09,37.28,15.96,0.8,11.57,61.39,1.19,10.59,,130.0,Moderate
Patna,2019-11-23,257.38,,52.63,46.43,65.89,,1.71,16.08,59.98,2.25,5.79,5.16,403.0,Severe
Ahmedabad,2015-01-18,,,6.1,25.77,29.57,,6.1,48.43,53.49,0.74,0.21,2.75,,
Ahmedabad,2015-01-19,,,2.51,26.88,27.45,,2.51,50.03,49.48,0.26,0.02,2.8,,
Talcher,2018-03-12,169.33,393.78,25.98,48.95,71.18,22.33,2.07,30.63,20.93,0.0,0.0,,,
Gurugram,2016-12-12,199.98,,7.94,10.4,,,,9.96,11.54,3.63,36.0,,357.0,Very Poor
Ahmedabad,2015-01-22,,,9.05,17.51,22.33,,9.05,23.71,42.22,0.0,0.0,4.51,,
Ahmedabad,2015-01-23,,,22.53,27.96,47.79,,22.53,39.19,32.92,0.39,0.0,5.95,,
Mumbai,2017-12-20,,,,,170.9,,0.0,,,0.0,0.0,0.0,,
Jaipur,2020-03-14,60.0,181.04,5.82,32.01,30.43,36.05,1.04,14.93,67.46,1.31,21.62,,199.0,Moderate
Chennai,2020-01-10,40.76,69.94,10.51,17.3,27.69,52.55,0.77,9.65,28.3,0.05,0.0,,74.0,Satisfactory
Ahmedabad,2015-01-27,,,2.19,21.7,23.26,,2.19,43.28,41.1,0.02,0.0,1.65,,
Gurugram,2019-12-08,205.7,315.4,56.66,50.18,78.46,,2.07,0.92,34.74,1.99,6.02,,373.0,Very Poor
Mumbai,2015-08-10,,,,,21.29,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,2015-01-30,79.84,,13.85,28.68,41.08,,13.85,48.49,97.07,0.04,0.0,4.81,328.0,Very Poor
Hyderabad,2015-07-20,25.12,,5.6,5.65,11.25,,0.24,3.52,11.09,,,,41.0,Good
Ernakulam,2020-04-29,14.14,30.88,9.68,,8.72,27.8,1.51,2.82,,0.08,0.15,0.0,80.0,Satisfactory
Ahmedabad,2015-02-03,139.7,,30.61,28.4,56.73,,30.61,33.79,73.6,0.17,0.03,11.87,660.0,Severe
Visakhapatnam,2019-09-14,39.35,93.44,8.6,39.29,28.02,6.93,0.73,11.27,28.48,3.61,11.06,4.13,107.0,Moderate
Guwahati,2020-01-04,89.1,122.49,19.56,7.57,40.24,15.08,0.84,11.96,17.98,0.5,,,114.0,Moderate
Ahmedabad,2015-02-06,79.29,,1.16,26.94,26.83,,1.16,67.41,59.3,0.0,0.0,0.0,190.0,Moderate
Patna,2018-02-11,159.2,,9.53,21.11,11.26,,1.68,38.42,22.82,0.35,3.22,0.83,309.0,Very Poor
Ahmedabad,2015-02-08,74.28,,8.92,27.3,33.42,,8.92,54.28,47.42,0.0,0.0,0.27,379.0,Very Poor
Thiruvananthapuram,2018-09-19,17.14,39.68,2.74,8.21,6.6,2.65,0.84,5.56,32.06,,,,53.0,Satisfactory
Visakhapatnam,2019-10-07,30.49,81.94,23.38,55.32,46.89,27.01,0.85,31.92,22.39,5.57,13.47,5.04,74.0,Satisfactory
Kolkata,2019-08-08,11.36,22.78,7.95,16.73,24.05,9.84,0.4,2.49,14.48,12.36,8.82,2.28,34.0,Good
Lucknow,2015-04-25,39.98,,4.04,12.56,5.65,,2.75,42.87,19.56,3.57,3.39,,160.0,Moderate
Hyderabad,2018-11-03,25.96,59.8,6.81,32.84,22.01,10.51,0.48,4.13,23.14,1.89,11.06,1.46,58.0,Satisfactory
Ahmedabad,2015-02-14,177.33,,37.49,47.58,77.85,,37.49,99.72,36.47,17.0,52.66,6.98,761.0,Severe
Ahmedabad,2015-02-15,113.25,,15.55,30.5,44.87,,15.55,69.71,33.78,10.47,28.53,3.22,475.0,Severe
Ahmedabad,2015-02-16,99.7,,19.85,28.1,47.31,,19.85,73.23,30.57,10.28,31.25,4.0,536.0,Severe
Jorapokhar,2018-09-07,,67.82,7.07,7.1,,6.64,0.0,30.67,12.45,,,,69.0,Satisfactory
Visakhapatnam,2018-07-03,38.8,86.26,2.42,44.72,25.19,11.77,0.5,13.39,18.01,4.59,15.15,4.1,80.0,Satisfactory
Kochi,2020-03-10,42.87,129.32,131.64,2.42,103.62,5.26,1.34,20.52,1.5,,0.0,,125.0,Moderate
Delhi,2017-01-29,132.35,171.91,39.04,46.68,34.02,28.3,0.35,18.12,39.39,3.36,5.81,,252.0,Poor
Ahmedabad,2015-02-21,239.96,,61.95,46.25,106.92,,61.95,84.87,33.55,22.14,53.98,15.44,1141.0,Severe
Ahmedabad,2015-02-22,142.96,,45.45,48.21,92.32,,45.45,62.96,34.77,7.35,22.4,8.47,669.0,Severe
Ahmedabad,2015-02-23,238.41,,77.7,55.07,131.32,,77.7,89.07,37.3,50.61,163.64,28.46,1247.0,Severe
Thiruvananthapuram,2018-07-24,13.41,43.0,2.89,5.95,5.51,1.85,0.8,5.13,30.19,,,,56.0,Satisfactory
Ahmedabad,2015-02-25,52.99,,2.23,10.45,10.39,,2.23,32.76,67.25,3.85,11.39,0.81,292.0,Poor
Patna,2018-03-02,175.83,,4.53,30.15,10.7,,1.82,33.4,94.7,0.33,2.96,0.53,349.0,Very Poor
Patna,2018-10-24,140.29,,9.5,20.9,11.18,,1.68,35.23,99.7,3.29,27.49,10.68,301.0,Very Poor
Shillong,2019-10-10,,20.78,,,0.0,,0.47,5.58,32.71,0.0,0.0,,48.0,Good
Chennai,2015-06-23,68.28,,7.62,16.15,14.61,52.18,2.3,10.42,33.71,1.46,1.35,,181.0,Moderate
Mumbai,2015-05-28,,,,,23.57,,0.0,,,0.0,0.0,0.0,,
Ahmedabad,2015-03-05,173.01,,48.44,42.27,90.73,,48.44,78.76,59.39,9.72,9.96,4.13,780.0,Severe
Talcher,2020-04-03,34.17,73.46,85.48,5.83,7.75,13.72,2.02,,106.75,0.0,,,,
Delhi,2015-11-26,182.5,317.46,91.98,69.29,144.14,40.68,1.84,21.35,93.71,4.48,12.18,1.03,347.0,Very Poor
Ahmedabad,2015-03-08,71.56,,3.51,16.83,20.32,,3.51,30.28,57.16,3.95,8.01,0.63,190.0,Moderate
Mumbai,2019-12-12,95.21,169.26,39.47,41.68,79.89,19.77,1.32,16.04,31.95,10.42,,,229.0,Poor
Ahmedabad,2015-03-10,106.71,,5.39,25.59,30.51,,5.39,38.85,60.17,5.58,14.17,1.74,297.0,Poor
Ahmedabad,2015-03-11,118.49,,4.11,28.94,31.83,,4.11,54.2,53.61,7.9,21.32,2.78,330.0,Very Poor
Ahmedabad,2015-03-12,106.01,,4.28,27.31,30.54,,4.28,70.29,40.91,9.45,15.54,1.71,252.0,Poor
Jaipur,2018-07-12,66.31,82.09,10.16,17.37,27.5,14.28,0.73,9.51,32.42,1.18,6.78,,142.0,Moderate
Ahmedabad,2015-03-14,83.92,,6.42,25.03,30.8,,6.42,67.53,34.94,8.24,21.47,3.09,234.0,Poor
Lucknow,2018-06-07,85.89,,2.18,15.65,22.53,38.07,0.68,9.96,11.79,0.0,0.0,,127.0,Moderate
Hyderabad,2015-04-27,40.78,,4.46,28.32,32.78,,0.89,15.72,39.31,,,,86.0,Satisfactory
Lucknow,2016-06-14,84.02,,5.72,30.46,5.57,,1.22,4.89,56.89,0.36,0.28,,179.0,Moderate
Ahmedabad,2015-03-18,57.69,,25.36,29.48,54.79,,25.36,58.33,52.87,9.55,32.11,4.53,286.0,Poor
Ahmedabad,2015-03-19,105.06,,46.24,37.05,82.23,,46.24,53.62,45.65,20.89,75.36,12.7,883.0,Severe
Kochi,2020-04-05,18.62,29.48,66.07,1.04,53.27,2.71,0.82,16.53,1.29,,0.01,,65.0,Satisfactory
Kochi,2020-04-15,17.69,32.39,86.73,4.34,72.24,3.31,0.92,16.74,1.27,,0.0,,88.0,Satisfactory
Ahmedabad,2015-03-23,130.76,,45.61,41.03,85.76,,45.61,65.77,41.58,24.12,85.31,12.56,818.0,Severe
Ahmedabad,2015-03-24,143.55,,27.3,31.15,57.16,,27.3,50.98,35.38,18.61,72.78,10.15,737.0,Severe
Ahmedabad,2015-03-25,165.07,,23.83,34.48,57.71,,23.83,64.32,43.79,29.14,64.01,8.51,585.0,Severe
Ahmedabad,2015-03-26,166.85,,17.93,43.3,60.07,,17.93,79.71,53.44,24.09,67.38,9.76,616.0,Severe
Ahmedabad,2015-03-27,147.38,,6.4,35.82,40.22,,6.4,46.89,17.94,14.23,41.88,5.7,437.0,Severe
Mumbai,2020-04-25,16.78,44.63,15.01,6.5,20.87,6.74,0.32,12.46,23.08,5.06,,,57.0,Satisfactory
Jorapokhar,2020-05-09,63.25,100.36,23.61,9.95,,9.18,1.41,32.52,46.48,,,,116.0,Moderate
Thiruvananthapuram,2019-01-04,44.94,80.7,2.84,11.76,8.21,5.63,0.05,22.19,78.4,,,,124.0,Moderate
Ahmedabad,2015-03-31,133.3,,6.52,20.0,26.18,,6.52,51.58,59.03,9.94,21.13,2.31,339.0,Very Poor
Patna,2016-01-18,194.96,,41.78,40.07,81.16,,2.8,13.02,18.78,0.34,0.91,0.62,364.0,Very Poor
Ahmedabad,2015-04-02,77.69,,5.24,18.87,23.06,,5.24,100.48,27.14,9.49,11.77,1.6,222.0,Poor
Thiruvananthapuram,2019-03-19,33.45,65.23,0.93,7.64,4.4,3.32,0.89,7.03,48.67,,,,80.0,Satisfactory
Patna,2015-07-22,,,34.66,13.51,47.99,,3.01,4.43,7.8,0.28,1.97,0.83,,
Ahmedabad,2015-04-05,156.76,,3.92,16.7,20.97,,3.92,26.32,37.11,3.88,10.78,0.97,,
Ahmedabad,2015-04-06,120.96,,4.23,20.86,25.02,,4.23,35.54,35.66,6.05,15.85,1.68,303.0,Very Poor
Delhi,2017-07-22,18.54,,20.65,19.9,4.52,23.32,0.0,,,0.03,0.0,,30.0,Good
Visakhapatnam,2018-09-16,67.61,192.29,10.63,51.88,36.23,11.24,0.95,2.85,26.42,5.55,13.89,5.44,154.0,Moderate
Lucknow,2016-07-30,17.7,,2.39,16.99,6.07,,1.04,15.07,33.26,0.29,0.03,,64.0,Satisfactory
Ernakulam,2020-03-25,15.93,31.35,2.06,3.5,5.28,3.41,1.15,3.47,,0.02,0.08,0.0,61.0,Satisfactory
