고객세그먼트,제품대분류,제품소분류,지역,매출액,수량,할인율,이익
Consumer,Furniture,Bookcases,South,261.96,2.0,0.0,41.9136
Consumer,Office Supplies,Art,West,99.3,10.0,0.0,41.706
Corporate,Office Supplies,Envelopes,Central,15.84,2.0,0.2,5.544
Consumer,Furniture,Furnishings,South,8.8,5.0,0.0,3.872
Consumer,Office Supplies,Storage,South,22.368,2.0,0.2,2.5164
Consumer,Furniture,Furnishings,West,48.86,7.0,0.0,14.1694
Consumer,Office Supplies,Art,West,7.28,4.0,0.0,1.9656
Corporate,Office Supplies,Storage,West,15.84,3.0,0.0,0.0
Corporate,Office Supplies,Binders,South,15.57,3.0,0.7,-11.937
Corporate,Office Supplies,Storage,East,51.45,3.0,0.0,13.8915
Consumer,Furniture,Tables,West,1706.184,9.0,0.2,85.3092
Consumer,Technology,Phones,West,911.424,4.0,0.2,68.3568
Consumer,Office Supplies,Paper,South,15.552,3.0,0.2,5.4432
Consumer,Office Supplies,Binders,West,407.976,3.0,0.2,132.5922
Consumer,Office Supplies,Binders,Central,10.43,5.0,0.8,-18.2525
Corporate,Technology,Phones,East,43.6,4.0,0.0,12.208
Corporate,Technology,Accessories,West,1496.16,9.0,0.0,224.424
Consumer,Office Supplies,Storage,West,55.5,2.0,0.0,9.99
Consumer,Furniture,Furnishings,East,14.89,1.0,0.0,4.0203
Consumer,Technology,Phones,West,213.48,3.0,0.2,16.011
Consumer,Office Supplies,Binders,West,22.72,4.0,0.2,7.384
Consumer,Office Supplies,Storage,East,44.688,7.0,0.2,3.3516
Home Office,Office Supplies,Paper,East,36.4,5.0,0.0,17.472
Consumer,Furniture,Chairs,East,71.372,2.0,0.3,-1.0196
Home Office,Office Supplies,Binders,South,34.236,4.0,0.7,-26.2476
Consumer,Office Supplies,Binders,West,11.648,2.0,0.2,4.2224
Consumer,Technology,Accessories,West,90.57,3.0,0.0,11.7741
Consumer,Furniture,Bookcases,East,3083.43,7.0,0.5,-1665.0522
Consumer,Office Supplies,Binders,East,9.618,2.0,0.7,-7.0532
Consumer,Furniture,Furnishings,East,124.2,3.0,0.2,15.525
Consumer,Office Supplies,Envelopes,East,3.264,2.0,0.2,1.1016
Consumer,Office Supplies,Art,East,86.304,6.0,0.2,9.7092
Consumer,Technology,Phones,West,15.984,2.0,0.2,1.1988
Consumer,Office Supplies,Art,East,15.76,2.0,0.2,3.546
Consumer,Office Supplies,Art,East,4.768,2.0,0.2,0.4768
Corporate,Technology,Phones,Central,1097.544,7.0,0.2,123.4737
Consumer,Technology,Machines,South,1299.99,2.0,0.5,-571.9956
Home Office,Office Supplies,Envelopes,Central,113.328,9.0,0.2,35.415
Corporate,Technology,Phones,South,23.976,3.0,0.2,-5.6943
Consumer,Office Supplies,Storage,West,93.68,4.0,0.0,25.2936
Home Office,Technology,Phones,Central,371.168,4.0,0.2,41.7564
Corporate,Technology,Phones,Central,147.168,4.0,0.2,16.5564
Corporate,Office Supplies,Storage,South,142.776,1.0,0.2,17.847
Corporate,Office Supplies,Storage,South,95.616,2.0,0.2,9.5616
Corporate,Technology,Accessories,Central,45.98,2.0,0.0,19.7714
Consumer,Office Supplies,Paper,Central,10.272,3.0,0.2,3.21
Consumer,Office Supplies,Storage,Central,211.96,4.0,0.0,8.4784
Consumer,Technology,Accessories,East,45.0,3.0,0.0,4.95
Home Office,Office Supplies,Envelopes,Central,15.28,2.0,0.0,7.4872
Consumer,Office Supplies,Art,East,43.92,3.0,0.0,12.7368
Consumer,Office Supplies,Labels,Central,75.18,6.0,0.0,35.3346
Consumer,Furniture,Furnishings,Central,6.16,2.0,0.0,2.9568
Corporate,Office Supplies,Appliances,Central,207.144,3.0,0.1,48.3336
Corporate,Office Supplies,Fasteners,East,15.26,7.0,0.0,6.2566
Consumer,Office Supplies,Paper,West,17.94,3.0,0.0,8.7906
Consumer,Office Supplies,Storage,East,208.56,6.0,0.0,52.14
Consumer,Office Supplies,Paper,South,19.44,3.0,0.0,9.3312
Consumer,Furniture,Chairs,East,319.41,5.0,0.1,7.098
Consumer,Office Supplies,Paper,East,14.56,2.0,0.0,6.9888
Corporate,Office Supplies,Envelopes,Central,9.912,3.0,0.2,3.2214
Consumer,Technology,Machines,West,29.925,5.0,0.7,-21.945
Home Office,Furniture,Chairs,East,458.43,5.0,0.3,-124.431
Consumer,Office Supplies,Envelopes,East,12.24,6.0,0.0,5.7528
Corporate,Office Supplies,Appliances,West,87.84,8.0,0.0,23.7168
Home Office,Office Supplies,Binders,South,15.57,3.0,0.7,-11.418
Consumer,Furniture,Furnishings,West,79.76,4.0,0.0,22.3328
